epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,408.456,0.58341,1.44706,0.6924,0.95745,0.89677,0.38333,0.42074,0.29864,0.85905,0.37666,0.41121,0.23215,1.68662,2.85573,2.3675,1.4143,1.25927e-05,1.25927e-05,1.25927e-05
91,412.493,0.50074,1.5297,0.5942,1.02178,0.89677,0.38333,0.42074,0.29864,0.85905,0.37666,0.41121,0.23215,1.68662,2.85573,2.3675,1.4143,1.16739e-05,1.16739e-05,1.16739e-05
92,416.635,0.50677,1.27197,0.53628,0.91307,0.90312,0.38333,0.42084,0.29721,0.85931,0.37378,0.41131,0.23127,1.69331,2.87888,2.36998,1.42667,1.07315e-05,1.07315e-05,1.07315e-05
93,420.687,0.75935,1.52947,0.72393,1.25297,0.90312,0.38333,0.42084,0.29721,0.85931,0.37378,0.41131,0.23127,1.69331,2.87888,2.36998,1.42667,9.76562e-06,9.76562e-06,9.76562e-06
94,424.562,0.54509,1.15229,0.55092,0.98402,0.90312,0.38333,0.42084,0.29721,0.85931,0.37378,0.41131,0.23127,1.69331,2.87888,2.36998,1.42667,8.77613e-06,8.77613e-06,8.77613e-06
95,428.12,0.71875,1.39198,0.75355,1.15916,0.90312,0.38333,0.42084,0.29721,0.85931,0.37378,0.41131,0.23127,1.69331,2.87888,2.36998,1.42667,7.76308e-06,7.76308e-06,7.76308e-06
96,431.882,0.5823,1.66417,0.59573,1.07765,0.90557,0.38333,0.42371,0.29609,0.8417,0.36667,0.40701,0.23075,1.69301,2.87168,2.31415,1.42224,6.72648e-06,6.72648e-06,6.72648e-06
97,435.804,0.51787,1.36919,0.53409,0.93931,0.90557,0.38333,0.42371,0.29609,0.8417,0.36667,0.40701,0.23075,1.69301,2.87168,2.31415,1.42224,5.6663e-06,5.6663e-06,5.6663e-06
98,439.505,0.58638,1.2657,0.69712,1.07248,0.90557,0.38333,0.42371,0.29609,0.8417,0.36667,0.40701,0.23075,1.69301,2.87168,2.31415,1.42224,4.58257e-06,4.58257e-06,4.58257e-06
99,443.144,0.56198,1.43776,0.61166,0.90777,0.90557,0.38333,0.42371,0.29609,0.8417,0.36667,0.40701,0.23075,1.69301,2.87168,2.31415,1.42224,3.47528e-06,3.47528e-06,3.47528e-06
100,447.053,0.56285,1.14266,0.63959,0.96113,0.90601,0.38333,0.42101,0.3119,0.82973,0.36667,0.40256,0.22942,1.69958,2.88316,2.31585,1.42775,2.34442e-06,2.34442e-06,2.34442e-06
